id,repo_name,domain,primitive_type,concept,foundational_primitive,first_commit_mvp,starter_command,status,license,contribution_path
1,aether-agent-protocol,Agentic Infrastructure,protocol,A protocol that standardizes AI worker coordination as reliable operating-system services across independent tools.,Protocol for agent systems,Spec draft + reference validator,mkdir aether-agent-protocol && cd aether-agent-protocol && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
2,signal-agent-kernel,Agentic Infrastructure,kernel,A minimal runtime kernel for AI worker coordination as reliable operating-system services without vendor lock-in.,Kernel for agent systems,Core runtime + CLI,mkdir signal-agent-kernel && cd signal-agent-kernel && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
3,catalyst-agent-ledger,Agentic Infrastructure,ledger,An append-only event ledger for AI worker coordination as reliable operating-system services with replayable history.,Ledger for agent systems,Event schema + replay demo,mkdir catalyst-agent-ledger && cd catalyst-agent-ledger && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
4,nexus-agent-simulator,Agentic Infrastructure,simulator,A simulation engine that stress-tests AI worker coordination as reliable operating-system services before deployment.,Simulator for agent systems,Scenario runner + sample cases,mkdir nexus-agent-simulator && cd nexus-agent-simulator && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
5,oracle-agent-compiler,Agentic Infrastructure,compiler,A compiler that converts human intent into machine-checkable plans for AI worker coordination as reliable operating-system services.,Compiler for agent systems,Parser + plan IR,mkdir oracle-agent-compiler && cd oracle-agent-compiler && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
6,saffron-agent-index,Agentic Infrastructure,index,"A semantic index that makes AI worker coordination as reliable operating-system services searchable, comparable, and reusable.",Index for agent systems,Indexer + query API,mkdir saffron-agent-index && cd saffron-agent-index && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
7,echo-agent-canvas,Agentic Infrastructure,canvas,An interactive canvas for designing and debugging AI worker coordination as reliable operating-system services.,Canvas for agent systems,Web UI + example board,mkdir echo-agent-canvas && cd echo-agent-canvas && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
8,source-agent-agent,Agentic Infrastructure,agent,A specialist agent that manages one narrow responsibility inside AI worker coordination as reliable operating-system services.,Agent for agent systems,Agent contract + tests,mkdir source-agent-agent && cd source-agent-agent && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
9,lattice-agent-orchestrator,Agentic Infrastructure,orchestrator,An orchestrator that coordinates modules responsible for AI worker coordination as reliable operating-system services.,Orchestrator for agent systems,Router + plugin registry,mkdir lattice-agent-orchestrator && cd lattice-agent-orchestrator && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
10,vector-agent-guardian,Agentic Infrastructure,guardian,"A guard layer that detects failure, drift, and misuse in AI worker coordination as reliable operating-system services.",Guardian for agent systems,Policy rules + audit log,mkdir vector-agent-guardian && cd vector-agent-guardian && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
11,veritas-agent-codec,Agentic Infrastructure,codec,A translation layer that converts messy inputs into structured records for AI worker coordination as reliable operating-system services.,Codec for agent systems,Normalizer + fixtures,mkdir veritas-agent-codec && cd veritas-agent-codec && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
